Date,Country,Status,AQI Value
20-07-2023,Croatia,Good,32
20-07-2023,Cyprus,Moderate,58
20-07-2023,Czech Republic,Moderate,57
20-07-2023,Denmark,Good,16
20-07-2023,Dominican Republic,Good,45
20-07-2023,Ecuador,Good,28
20-07-2023,Egypt,Unhealthy for Sensitive Groups,109
20-07-2023,El Salvador,Moderate,93
20-07-2023,Estonia,Good,16
20-07-2023,Ethiopia,Unhealthy,156
20-07-2023,Finland,Good,23
20-07-2023,France,Moderate,57
20-07-2023,French Guiana,Good,33
20-07-2023,Gabon,Moderate,79
20-07-2023,Georgia,Good,43
20-07-2023,Germany,Moderate,55
20-07-2023,Ghana,Moderate,70
20-07-2023,Gibraltar,Moderate,63
20-07-2023,Greece,Moderate,63
20-07-2023,Grenada,Good,6
20-07-2023,Guadeloupe,Good,44
20-07-2023,Guam,Good,1
20-07-2023,Guatemala,Good,38
20-07-2023,Honduras,Good,10
20-07-2023,Hong Kong,Good,34
20-07-2023,Iceland,Good,14
20-07-2023,India,Unhealthy for Sensitive Groups,139
20-07-2023,Indonesia,Moderate,89
20-07-2023,Iran,Unhealthy,186
20-07-2023,Ireland,Good,31
20-07-2023,Israel,Good,33
20-07-2023,Italy,Moderate,71
20-07-2023,Ivory Coast,Good,9
20-07-2023,Japan,Moderate,94
20-07-2023,Jersey,Moderate,55
20-07-2023,Jordan,Good,36
20-07-2023,Kazakhstan,Unhealthy,181
20-07-2023,Kenya,Moderate,88
20-07-2023,Kosovo,Good,38
20-07-2023,Kuwait,Moderate,88
20-07-2023,Kyrgyzstan,Good,47
20-07-2023,Laos,Good,43
20-07-2023,Latvia,Good,6
20-07-2023,Lebanon,Unhealthy for Sensitive Groups,113
20-07-2023,Liberia,Good,36
20-07-2023,Liechtenstein,Good,17
20-07-2023,Lithuania,Good,21
20-07-2023,Luxembourg,Good,49
20-07-2023,Macao,Good,50
20-07-2023,Macedonia,Moderate,53
20-07-2023,Madagascar,Moderate,84
20-07-2023,Malaysia,Moderate,59
20-07-2023,Malta,Moderate,82
20-07-2023,Martinique,Moderate,79
20-07-2023,Mexico,Moderate,86
20-07-2023,Moldova,Good,14
20-07-2023,Monaco,Moderate,59
20-07-2023,Mongolia,Moderate,55
20-07-2023,Montenegro,Good,47
20-07-2023,Myanmar,Good,41
20-07-2023,Nepal,Moderate,55
20-07-2023,Netherlands,Good,25
20-07-2023,New Caledonia,Moderate,58
20-07-2023,New Zealand,Good,31
20-07-2023,Nigeria,Moderate,70
20-07-2023,Norway,Good,17
20-07-2023,Pakistan,Moderate,79
20-07-2023,Palestinian Territory,Moderate,84
20-07-2023,Peru,Moderate,58
20-07-2023,Philippines,Good,46
20-07-2023,Poland,Moderate,52
20-07-2023,Portugal,Good,22
20-07-2023,Puerto Rico,Good,31
20-07-2023,Qatar,Moderate,74
20-07-2023,Reunion,Good,15
20-07-2023,Romania,Moderate,99
20-07-2023,Russia,Moderate,87
20-07-2023,San Marino,Moderate,76
20-07-2023,Saudi Arabia,Moderate,53
20-07-2023,Senegal,Good,17
20-07-2023,Serbia,Moderate,53
20-07-2023,Singapore,Good,33
20-07-2023,Slovakia,Moderate,51
20-07-2023,Slovenia,Good,32
20-07-2023,South Africa,Unhealthy,168
20-07-2023,South Korea,Unhealthy for Sensitive Groups,150
20-07-2023,Spain,Unhealthy for Sensitive Groups,107
20-07-2023,Sri Lanka,Good,33
